month_number,month_label,residual_q10,residual_q90,residual_median,residual_std,sample_size,interval_width
1,Jan,-6.5336,6.9832,-0.2913,7.1914,18222,13.5168
2,Feb,-6.2588,6.388,-0.2341,7.9012,16287,12.6468
3,Mar,-6.7727,8.8242,-0.6457,21.8904,17761,15.5969
4,Apr,-5.7548,6.349,-0.3567,60.0195,17691,12.1038
5,May,-5.5847,5.8767,-0.4224,41.8707,18435,11.4614
6,Jun,-6.0112,6.2985,-0.061,51.4614,17970,12.3097
7,Jul,-4.6828,4.6844,-0.3362,32.3304,18260,9.3672
8,Aug,-4.2733,4.3816,-0.1899,46.5018,18531,8.6549
9,Sep,-4.1301,2.8946,-0.6902,44.8862,17981,7.0247
10,Oct,-5.3626,2.9942,-1.1771,38.7136,18044,8.3568
11,Nov,-7.127,5.4963,-0.7235,41.0093,17665,12.6233
12,Dec,-6.6896,4.1752,-0.9284,49.3874,18493,10.8648
